,comment
7973,"ну там Жириновский на заднем плане, так что, весело должно быть)
"
14095,"Пиздабол. Баб немало в гей-клубах - внезапно они ходят туда просто пообщатся и потанцевать с подружками . А самое главное, к ним там точно никто приставать не будет. Выгодно. мимо по настоящему работаю в гей-клубе
"
2208,"Сюда особо никто не пришел, анонам видимо нравится сидеть с шизофрениками.
"
6090,"как же дупы полыхают ололол
"
9557,"Если в нынешних школах стало сложностью сплочение коллектива для благих воспитательных целей (не травли, которой стало много в интернете), то тогда всё совсем плохо.
"
8682,"Надо начать с того, что выяснить, почему на виде спереди стоит диаметр 70, потом идёт три лепестка того диаметра с фасками R36. Возможно ошибка конструктора. Изначально лучше сделать две выточки - под диаметр заготовки, и под диаметр 70. Сначала зажимается заготовка за соответствующую выточку, точится, сверлится растачивается и фрезеруется вся правая часть. Затем зажимаешь за три отфрезерованных лепестка d70 , не забыв выставиться по индикатору. Делаешь всю левую часть, точишь, рвстачиваешь, режешь резьбу и фрезеруешь
"
7056,"В том то и дело, что рак может и в 30 лет случиться, или машина сбить в 25. Инфаркты инсульты уже тоже до 30 случаются. От такого вообще никто не застрахован. Так можно вообще никогда не завести семью. Тут важно личное мироощущение. Готов ли ты в принципе взять на себя такую ответственность? Взвесить всё. Поэтому всё индивидуально)
"
3574,"и чем можно припугнуть обычно помогает припугивание нанесением физических повреждений вплоть до летального исхода с демонстрацией таковых в более лайтовом варианте ;-) P.S. а вообще берите устав (его вам не могут не дать, он должен быть общедоступным и выдаваться по первому требованию - копия, пусть и копирование за ваш счет, или в электронном виде) и идите к любому гражданскому юристу - это самое лучшее, что можно сделать
"
6088,"Сепаров ждёт смерть с небес, коммиблоки с предателями Украины, временно находящимися в лугандонии и донбабве, будут разрушены украинской армией до основания. Трепещите гады, дрон уже вылетел.
"
14411,"До сих пор пересматриваю его видео. Орамбо кстати на своем канале пилит похожий контент, но качеством похуже, там же и Шуран не редко светится, храню хрупкую надежду что когда-то он вернется, такая годнота ведь.
"
4447,"Я в курсе что кабеля на айфон разные бывают, я даже в актуальное время 2g айфоном пользовался и знаю что с 5го айфона кабель поменялся, и до настоящего времени он как на 5ке. Но на картинке скорее всего от самсунга.
"
2234,"та що ты им пидорам ок шным объясняешь это метать бисетр перед свинями
"
3075,"Ух ты, удмуртская мартышка пытается в перефорсы. Забавно.
"
9410,"Ну так сжечь их на этом же огне, делов-то. Буйствовали, оступились, сгорели. Горе-то какое.
"
10696,"Ну вот выборы примерно так же работают
"
12424,"Лишь бы лапку не защемила, дурёха
"
12231,"Двухэтажный поезд,только Шкода.
"
8591,"Да нет там системы. Процент выигрыша и когда Джек пот был срублен. Вся инфа. И то рандом решает. Как например на ацтеков, настройка выигрыша 89 до трёх суток проходит и Джек пот срубает кто-то тысяч 30(2009г) После Джека проходят третьи сутки и палаточного рынка бизнесмен решает забрать себе Джек , берёт автомат и садится катать с 00 до 07 утра. Кофе и сигареты Кент. Всрал хз сколько но касса рекордно сдавалась. Воротила рыночный под утро разбил с кулака монитор и уехал. Хозяева не обиделись и к обеду уже другой монитор стоял. А в час пришла продавец мяса и с первого раза Джек пот срубила.
"
9067,"ну, нацики тоже не сильно выходу помогли, а свастика - символ древний, ведический. А вот эта вот медалька напичкана разной старой символикой
"
1189,Может решающий голос был у живущего в башне федерация в Москва Сити?))
1100,почему это? можно подробнее?
341,"хотят завезти Епта, они и так приезжают. И даже больше. Ну, даст им вова паспорт в упрощенном порядке - что для тебя изменится? Ты что, у чурок паспорт спрашиваешь?
"
11321,"Если каждый сантиметр на счету, то для вам нужны решения бескаркасной шумоизоляции. Например, как писали выше Саундлайн-ПГП Супер . Посмотрите на ютубе видео как монтировать такие панели (или панель ЗИП). Главное при монтаже такого решения, чтобы получившаяся новая стена была виброразвязана от основной стене, которую шумоизолируете, а иначе эффект будет скромные или не будет вовсе. В общем, главное досконально соблюсти технологию. Кроме того, приложитесь ухом к другим стенам. Может звук переизлучается и от них тоже.
"
2024,"Этот расеянин уплатит за всё. Проблема не выбить дерьма из макак, а получить прибыль. С абхазии никаких профитов, с сирии тоже, с драмнбаса тоже. Говна выбили и путин хуй забил посадив на гум иглу.
"
3060,"И что теперь? С чурками ебаться?
"
3805,"Так варите еду для котов сами. Рыба сейчас продается любая.
"
13574,"С доставкой вышло 1100. У некоторых с доставкой 900 выходит.
"
3113,"А где тут указание того, что это сварщик, а не председатель горисполкома?
"
8613,"В слове Батя всего 4 байта
"
5497,"а я вот недоволен, секунды округляются до минуты, по факту вместо 600 минут наговорил на 400, пришлось докупать пакеты два раза. итого к абонентской добавилось 300 рублей за 200 минут
"
10775,"если брать оптом, то стоимость меньше
"
13791,"Модератор красава. Давно этого хотел. Отличный подарок на новый год.
"
6885,"но люди там скорее всего постоянно ездят ?
"
7307,"Можно сделать бэкдор для входа от имени системы. Загрузиться с LiveCD, найти в папке System32 файл accwiz.exe, переименовать в accwiz1.exe, сделать копию файла cmd.exe и назвать ее accwiz.exe. Потом загрузиться до экрана с выбором пользователя и нажать пять раз клавишу Shift. Вместо Мастера специальных возможностей загрузится cmd.exe (командная строка) с правами уровня Система . В командной строке набрать control userpasswords2 и добавить в систему пользователей.
"
9293,"Ошибаетесь) iOS 12 не актуальна только для моделей 2012 года и старше. Поддерживаются устройства 6 летней давности! Причём при переходе на новые модели всё без проблем встанет, даже при различиях в прошивках, в обратную сторону да возникают сложности, а вот с повышением никаких. Ещё раз вынапомню какого года iPhone 6, в 2014 о полноценном бэкапе как на iOS вы могли только мечтать, а я без проблем перешёл с iPhone 5 на iPhone 6 и в прошлом году с iPhone 6 на iPhone 8 , так, что не надо рассказывать, если не компетентны. Сам переход со старой модели на новую практически бесшовный. Новый телефон автоматически включается, при доставании из коробки, автоматически старый телефон делится с новым паролем от Wi-Fi, и предлагает восстановиться из iCloud, как новое устройство или по средствам сканирования своеобразного QR года, который также автоматом запускается на старом устройстве.
"
4361,"Сайруса из The Elder Scrolls Adventures: Redguard не хватат, а так круто.
"
13346,"Если у тебя ниже... тебе стоит что то менять...
"
2535,"все оформлено Почему вместо фигуристов приклеил ксенофобский пикрил?! Бан нахуй! И даже не вякай!
"
10561,"Всё, что следует знать о тв
"
13805,"DLC Что делает эта длси?
"
829,"Все согласны, блядь. Всем по полному ебучему завтраку, подводит итог Бегби. Рентон не верит своим ушам. Ему хочется послать Бегби на хуй. Но он перебарывает этот порыв и только медленно качает головой: Я не ем мяса, Франко. баное вегетарианство. баный пиздёж. Ты должен есть мясо. баный торчок заботится, на хуй, о том, что он вводит в свой в организм! Я угораю, бля! Просто я не люблю мяса, отвечает Рентон, чувствуя себя полным дураком, и все начинают хихикать. Только не пизди мне о том, что тебе жалко ёбаных животных. Вспомни тех ёбаных собак и кошек, в которых мы с тобой, на хуй, стреляли из духовых ружбаек! А ещё ёбаных голубей, которых мы жгли живьём. Этот чувак делал ебучие шутихи типа как фейерверки из белых мышей. Мне не жалко животных. Просто я не могу их есть, Рентон пожимает плечами, смущённый тем, что Келли узнала о его подростковых зверствах. Бессердечные ублюдки. Не представляю, как можно выстрелить в собаку, ехидничает Элисон, качая головой. А я не представляю себе, как можно убить и съесть свинью, Рентон показывает на бекон и сосиску у неё на тарелке. Это разные вещи. Картошка озирается вокруг: Это, э, это самое Рентс поступает правильно, но только типа как неправильно объясняет. Мы никогда, это самое, не научимся любить друг друга, если не будем заботиться о тех, кто слабее нас, это самое, животных там, и всё такое но хорошо, что Рентс вегетарианец это самое, если ты можешь воздерживаться это самое Бегби неуклюже трясётся всем телом и жестом заставляет Картошку замолчать. Остальные смеются. Рентон, благодарный Картошке за попытку поддержать его, вмешивается, чтобы перевести огонь на себя. Дело не в воздержании. Просто я терпеть не могу мяса. Меня от него тошнит. Вот и всё. И всё равно я говорю, блядь, что ты хочешь всё, на хуй, пересрать. Почему? Потому что я так сказал, блядь, вот почему, на хуй! шипит Бегби, показывая на себя. Рентон опять пожимает плечами. Спорить дальше нет смысла. Самые эгоистичные люди - это вегетарианцы, да.
"
3973,"В Украине решение ЕСПЧ в отношении другого государства является источником права?
"
2972,"Тут гора, тут баран пасётся, там кортеж кадырова едет, вон мечеть - вот и вся экскурсия До Первой Чеченской Грозный был городом старинных крепостей. Очень много исторических памятников разрушенно и так и не восстановлено. Хотя при таких бабках...
"
4768,"Какой то он жалкий всё время. Этакая тень Льва Давидовича. Как неприкаянный дурачок, но настырный и упрямый.
"
12190,"ой а кто-то ждал от хохлов не хуйни....
"
10880,", у вас тут посетителя в реале забанили. Почините обратно.
"
7997,"Слишком, блядь, мощно
"
3754,"Горькая правда лучше сладкой лжи.
"
1130,"Вот, кстати, да, очень похоже"
7577,"Не задавались целью. Первоначальный взнос не важен. Можно найти выходы. Серых схем хватает. Просто будете платить много лет и не дёшево. Но все лучше за свое, чем сейчас платить арендодателю
"
10265,"Раньше была Манька Защеканка, а теперь стримерша,тьфу, бля
"
3646,"Исключительно идеологически правильный фильм. Снят хорошо, но сюжет проходной
"
11929,"А сколько будет стоить для девочки 25 лет?)
"
1451,Идентифицируют правильно
1105,"К этой байке прилагалась байка про глубочайший ожог на груди (от кулона) и пальце (от кольца), которыми Кюри потом щеголяла до конца жизни (недолгой). После этого её закопали в закрытом свинцовом гробу (это уже не байка) и наконец занялись изучением влияния радиации на живые организмы. Твой ход."
5068,".да, вот что делает нежелание изучать предмет, который не любишь или не понимаешь. а некоторые так и учатся до конца, и даже работают...
"
9962,"А чтот на фото, если не секрет? Реально интересно
"
8590,"Плохая идея. Если будет пожар, вы не сможете его потушить. Разгорается как факел, за считанные секунды. Никакие противопожарные пропитки не спасут. Родственник в Нижнекамске уже проверил. Да и эстетика такого ремонта очень спорная. Существуют более красивые современные безопасные материалы отделки. Выше уже сказали- совок, он в башке. Добавлять нечего
"
838,"Фотографии дебилов в студию!
"
8989,"А с полугода предлагаете выкинуть старого и нового родить? Детское питание совсем не дёшево, одежда детская по цене как взрослая, лекарства детские стоят на порядок дороже, чем взрослые аналоги. А совсем здоровых детей я не видела никогда.
"
11464,"спасибо, пошел смотреть)
"
12978,"kskkkk, здравствуйте. Гарантийный срок указан на упаковке. В течение этого времени Вы можете сдать устройство на гарантийный ремонт.
"
14092,"Я думал он это про нынешнюю жену говорит Давайте поможем Даше найти первую жену петушария
"
5062,"Видимо египтяне что то знают...
"
4172,"Не у всех, хотя не завидую тем, у которых низкий рост и огромный ...
"
7589,"Меня зови , я со своими дружками дембелями после поллитры очень их люблю , ссыкунов сраных
"
5554,"ряяяя я нибыдла тату на ебале и видимом участке тела разъебал на год руку в соре с тян потреблядь каргокультист, который нарочито блюет от русской музыки про рэп отдельно делает рэп слушает попсовый роцк книги и кинцо знает только псевдоинтеллектуальные инб4 он добился, а ты пукаешь на дваче из села
"
9526,"Да, так. Но крайнего потребуют найти. Им окажется электрик и ответственный за пожарную безопасность - всегда поражался этой роли зиц-председателя: полномочий добиться этой безопасности нет, а ответственность есть.
"
8257,"это называется яжемать моему дитячку сделали лишнюю прививку, увольте эту суку
"
1747,"Контраргументы будут или только говном тред мазать изволите-с, Алексей Владимирович ?"
4214,"Не переживай, у тебя больше не будет поводов писать в мои постах) Gifx
"
13394,"Не думаю, давно гуляла идея ввести кино перерывы, для хотящих в туалет, чтобы не пропускать кино и прочее
"
9350,"У меня на 21099 через 10тыр развалился выжимной HOLA. было это 12 лет назад. Тогда эта фирма только появилась и менял все целиком....
"
4122,"Кстати сейчас цех запускаем как раз с стх310 и стх510. Неплохие станки.
"
3051,"Это тоже ты, нищий, маргинальный, тупой и завистливый рагуль?
"
8717,"Спасибо) Есть вопрос: почти у всех проводов сверху есть наконечники (даже у одиночных), почему их нет снизу автомата(кроме 26 номера)?
"
3193,"Закупаюсь на Даниловском. Продукты гораздо лучше, чем в магазинах. Про АБ конечно речь не идет.
"
12438,"В статье как бы это и написано Так ведь и статья же не его.Сьездил бы на фабрику посмотрел бы что и как.Правда на фабрике его ряд ли бы дальше конференц -зала пустили бы
"
9866,"На радиозаводе в Иркутске на Синюшке была проходная точно такая-же.
"
10811,"С дятловцами всё понятно - взрыв паров спирта
"
11578,"Шаг 1 - вызываем спецов и не выёбываемся. AGM Ca Ca Silver(по простому - ЛЮБУЮ батарею на которой VL написано) итд прикуривание на 20А и выше просто добьёт нахуй, а так хоть шанс есть выйти не потеряв 60 ёмкости, а всего 25 в лучшем случае... Короче гайд неактуален и НАВРЕДИТ.
"
12286,"А вот и зоошиза прибежала. Всех этих экзотов содержат в террариумах с определенным температурным режимом и влажностью, ибо тропические. Вне террариума они долго не живут, а пока живут, неважно себя чувствуют. Каковы шансы, что животное покинет террариум, покинет комнату, покинет квартиру... Вот, кстати, видос на тему побегов змей
"
6552,"Я так отмечала мамин др и поменяла пароль от сбербанк.онлайн Самый прикол, что я запомнила пароль. А в каком сервисе я его поменяла - вспомнить никак не могла, пока не столкнулась с ошибкой входа в вышеупомянутый сервис.
"
5317,"Первая Чеченская показала обратное
"
9934,"Срать на голову подданным.
"
8524,"Нормальный фильм можно смотреть. 7.5
"
6667,"Работаю мозгами и руками, а они пизду продают
"
10620,"Удивительное место - пикабу. Любят тут камуфлированных долбоёбов слепой всепрощающей любовью. Тут явно проёб вояк: хуёвые мехводы, ВАИ-аутисты (если они были вообще) и придурки-командиры с желанием проехаться на БТРах в городе днём.
"
3101,"Спать пора, а то я куни пони прочитал, думаю совсем ебнулись что-ли.
"
598,"Получается, у вас либеральное обострение?
"
9833,"кинолог. есть корочки ветврача, техника-осеменителя и ветеринарно-санитарного эксперта, но я ими не пользуюсь. еще какое-то время, года два, довелось работать в техподдержке NBN.
"
4014,"Организации в отчётах занижают цифры, чтобы меньше налогов платить,а не какой то дядя по желанию левой пятки документы с цифрами каждый квартал готовит. Перепроверить можно, но дорого и сложно. Для адекватной статистики нужно собрать независимые данные в объёме хотя бы нескольких тысяч (сайты с вакансиями не подойдут тк там редко пишут реальную зп). Этим как то раз даже штаб навального занимался, получили смешные суммы из опроса 1000 человек. Правда, когда добавили голослвалку на сайт, то цифры резко стали отличаться и от их телефонной статистики, но не потому что кремлеботы набежали. Просто работающее население на должностях получше, чем 1000из опроса. Инженеры, ведущие специалисты и тд о поделились в комментариях иныормацией о том, кто где кем и сколько получает.
"
3154,"Я сразу поменял от спорта, удобнее стало
"
11659,"Не помогает, говорю что ничего особо и не надо, либо слишком дорогое для подарка, но если очень хочется можете денег подарить. Но нет, все равно продолжают дарить всякую ненужную фигню.
"
5555,"Т.е. антисеммит по сути - психически больной человек.
"
11252,"Ядерная энергия - жто гибель. Смерть человечества в одном гигантском Чернобыле планержтарныз масштабов Ну-ну... гениев теперь на всех не зватит Это при капитализме. Коммунисты же выступают за совершенно свободное распространение знаний.
"
1415,"Один из кадров - да, главная достопримечательность Ростова Великого легко узнаваема, конечно)"
4572,"Когда был там чувствуется прям энергетика этого места, аж мурашки..
"
228,"Так это же католики. Католики в Бульбастане это как правило в большинстве отбитые змагары и адепты утопической польши и они против любого действия властей, даже если гражданам будут выдавать каждый месяц по 10к баксов то они будут против
"
7172,"Ну кто-то же должен еду подавать
"
4722,"а свидетель то петух.
"
498,"Такая удивительная история.. Дания. Это вам не цыганка с упоротым ребенком.
"
4103,"Дополню, психотерапевты ещё врачи, но в отличии от психиатров занимаются медикаментозным лечением психических заболеваний.
"
6073,"Охуенный казах, русский так же должен говорить своей власти, которая довела его до рабского существования, но русский дрожит в уголке.
"
902,"Праздник так уж праздник! Петерок проказник!
"
6109,"Да пиздец просто. Тянки лучше подставят пизду собаке, чем не-альфачу. Эта собака видела тянскую пизду, а я - нет. Да я даже тянок в купальниках не видел ни разу.
"
7475,"Утрамбовать рукой и угнетать водой в полиэтиленовой пакете (двух для надёжностьи)?
"
13591,"Зачем умному существу идти в свинопрезики? Полутораметровый клоун - отличный символ нации, неудивительно, что он в списках лидеров.
"
6384,"Совершение действий просто ради совершения действий суть пынегосудартва. Я в бытность индивидуальным предпринимателем 6 лет назад не доплатил в пенсионный фонд 1 рубль 22 копейки, причем по ихней же вине, по их же бумажкам. Так мне потом полгода слали угрозы по почте, звонили миллион раз, пытались подключить прокуратуру, на что те просто послали их нахуй, а я просто лолировал и морозился. Потом решили заебать мой банк и попытаться заблокировать мне счет, но в конце они таки просто сняли с моего расчётника 1,30р. с пеней и успокоились. Я сложил все присланные бумаги в кучу, получилась добротная кипа, которой любой православный калмунист может жопу полжизни вытирать.
"
10558,"5 лет в 5 банках карл, может полы мыл
"
2365,"постоянно Вот да. Либо реагировать на репорты в течении 10 минут, либо бесконечный тред. Собственно, учитывая, что мод последние месяцы появлялся крайне редко (раз в сутки), то бесконечный тред вполне оправдан для него, но не для нас конечно.
"
11159,"По Nat geo видел как они разделываются с выброшенной на берег медузой, одна внутрь залезла.. Жуть конечно...
"
5020,"Не подряд . Просто в определенной ценовой категории - 100т.р . Надо , что бы жене понравилась не убитая без шпакли не более 2 крашенных элементов.
"
1237,Зайди в паблик Подслушано Аэрофлот и познакомься
892,"И тебя упекут в дурку заботливые прохожие, когда ты будешь с ней общаться. То есть, не с ней, а с пустым местом. И дрочить не на неё, а на пустое место.
"
9411,"Хороший подарок, странный мужик
"
9141,"Верю. Вот кто только будет оплачивать обогрев подъезда? Помню в 90-ых (когда создавались вместо УЖКХ, ООО , ОАО )трубы отопления в подъездах были срезаны, так как государство отказалось оплачивать расходы на отопление подъезда, а новые хозяева не хотели за свой счёт. А так, да, стояли радиаторы отопления через этаж.
"
14233,"До чего Путин страну довёл! Пидорахи звереют каждым дне... Упс, это другое.
"
78,"Не понимаю как так получается. 15-20 лет назад хватало времени прослушать все перечисленные группы и не по одному альбому. Это только метал. Ещё хватало времени на панк и хардкор. При этом помимо работы был ещё институт в то время. Сейчас же совсем времени нет на музыку. Куда девается свободное время?
"
12844,"Мультов это вроде миллионов
"
4347,"Это я уже свои приоритеты ставлю. Вес начал набирать когда днем спал дополнительно. 8 часов для меня мало. Жрал я очень много.
"
8150,"А что может случится? Они не предназначены для дорог общего пользования. Только на бездорожье.
"
4217,"А еще Смешарики говорили, что после кульминации хорошо бы сделать еще какую-нибудь жопу, хуже чем было, а потом кульминацию 2 - лучше первой. Но, кажется, не совсем такими словами
"
13857,"Большая часть населения - чехи. Поляки, хохлы и рашковане белые и славяне, поэтому чехам похуй на них, едут и едут, лишь бы вели себя прилично. А чурок и цыган хейтят, и не только за поведение. Банально за то, что они не белые.
"
10208,"кроме мбс больше нет ничего в этой сумме денег?
"
11963,"Ну например. Расторгнуть контракт с инвестором администрация могла не 2018, а например 2008. Между прочим много людей купила квартиры в процессе, а не в самом начале. Этим бы они спасли людей от попадания в такую ситуацию. Плюс было бы больше свободных квартир. А значит проще достроить. Не кормить нас завтраками . Потому что это сжирало наше время. Не терять документацию или восстановить её. Сообщить в минстрой, что у города нет компенсационного участка и возможности нам помочь. А не говорить, что всё нормально и под контролем. Ну это только на вскидку.
"
11199,"мы не знаем деталей. может в медкабинете нет кушетки, может холодно, может ещё что. Но в коридоре ребенок точно не должен лежать.
"
10742,"Мне будет приятно, если после этого рассказа кто-нибудь действительно соберётся и поедет.
"
9104,"Бывал уже после чемпионата) правда это был ноябрь и особо не гулял из-за погоды ,но стадион новый видел.
"
13068,"Я про то что политиков там расстреливают пачками.
"
6511,"Аудитория Пикабу слишком консервативна в данном вопросе. Любая попытка привнести что-то новое заканчивается крайне плачевно, что случилось со мной и многими другими контентмейкерами Пикабу.
"
9681,"И потом твоя попа сожрёт твои трусы... См. 4фото
"
1281,Чем он лучше скайпа? Ни тем ни тем не пользуюсь
6778,"Нужен стимул. Мы не прокуренные деньги кидаем в банку . Каждый день по 250 р . За год набирается прилично.
"
2307,"Ну и ебало у него, как такого имбицила можно смотреть?
"
2118,"А какое отношение Россия имеет к хохлотреду? И какое отношение новости из твиттера имеют к кукареканью опа?
"
5007,"В оригинале там клиффхэнгер (про это есть записка переводчика по ссылке), но так прикол ещё сложнее...
"
4931,"Мне кажется целевая аудитория (женщины) в 95 вообще смутно представляют, что такое тепловизор, чего там говорить про выдачу картинки
"
13956,"Соглашусь, но очень уж разноплановый контент, нет определенной направленности, но для общего развития и чтобы понтоваться фактами перед тяночками самое-то.
"
6254,"Летс ролл бойз! ШМАЙСЕР ГЛУШКО ГРЕТТРУП ПЕРШИНГ СИКОРСКИЙ АХМАТОВА БУЛГАКОВ БУНИН СОЛЖЕНИЦЫН БЕЛЕНКО МАСК ПАТТОН
"
3584,"Ты или троль или диванный балабол. Я видел реально крутые кастомные мотоциклы. С очень ахуенной покраской. А не как на Уралах когда льют первую же попавшуюся краску которую нашли на складе. И ещё раз это стоит около 50к.
"
6766,"А как узнать, есть ценные или нет? У меня просто тоже 10 альбомов и надо продать чтоб не валялись
"
9433,"когда R 0 Теоретически конечно, на практике сопротивление хоть и маленькое но есть. Но это не меняет ничего. R состаточно мало и относительно постоянно.
"
8085,"Я не вижу 3d, хрен его знает почему, но я не вижу. Да и не могу я смотреть фильм из-за графона. Мне сюжет подавай. А американцы не способны понять японцев. Так что всех их попытки адаптации аниме и манги превращаются в какой-то шлак.
"
158,"Это ты своей маме и сестре родной? С утра?
"
1708,"Что ты имеешь против кремля, холоп заморского барина?"
8070,"Эбалку себе не сломайте. В топки справочники. Как выпускник кафедры электрических машин утверждаю что в природе у двух движков с одинаковой мощностью рабочие токи могут отличаться в разы. Есди бы вы были профессионалом, то знали ли бы что в природе существуют мотор-автоматы, разработанные специально для защиты двигателей. И им на пусковые токи как-то насрать. Ну а если нет мотор-автоматов, то поднимаем характеристику срабатывания, или выставляем время срабатывания больше чем время пускового тока. Но зачем вам это? Выже можете только эбать.
"
5032,"Мне так бывшая жена подарок на День рождения сделала. Курьер привез вещь домой. Эту штуку я сам собирался купить, но получить подарок таким образом - паскудное ощущение, знаете ли. Лучше уж вообще ничего или открытку. Но отношение человека показал. Она еще потом всем знакомым рассказывала, какой окуенный подарок КУПИЛА. Да уж....
"
5208,"На последнем фото у дома пристройка - стеклянная веранда или зимний сад?
"
6756,"Когда-нибудь видели его без скидки?)
"
9442,"Отчисления это страховка, которая идёт на покрытие стоимости медицинских услуг, что не так-то?
"
5643,"Биличка, ну не сцы ты, ты же его и по росту, и по массе превосходишь, зарубись с ним по правилам бокса, он все равно только ногами умеет махать, а ты такой-то хайп соберешь, все школьники тебя зауважают сразу, да еще и денег на рекламе и с донатов на трансляции соберешь.
"
9300,"А, теперь понятно. Спасибо.
"
10283,"я тоже первый раз прыгала с д-6 и за кольцо дергала. и все перворазники на дз у нас делают то же самое, никто не убился, единственные проблемы у них - проставляются за открытую запаску (от страха забывают о ней)
"
12701,"А я не в валенках на работу приходил, когда туда ходил. Там, где нужны унты или валенки - вопросов нет, там самим же удобнее сменку таскать. А вот там, где до школы 10 минут пешком, или передвигаешься от транспорта до транспорта, там и обувь полегче, как правило.
"
